engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
RuleBased,72,cloud,3.264,155.978,0.0136,True,-33.415,True,64.25091364887537,1,19.877389150140207,3,16,5.0,15.1
RuleBased,73,cloud,3.047,201.814,0.0034,True,-24.165,True,147.23380431210114,1,4.3206906043261135,2,4,2.0,22.5
RuleBased,74,cloud,3.238,258.679,0.0136,True,-44.646,True,155.25379358102458,1,5.873182142885782,4,16,5.0,15.1
RuleBased,75,hybrid,3.312,76.234,0.002,True,-8.391,True,100.81198105039522,1,3.82490262880878,3,4,2.0,9.4
RuleBased,76,cloud,3.219,266.896,0.0136,True,-43.258,True,166.96554073232136,1,20.396384939976077,3,16,0.5,22.5
RuleBased,77,hybrid,3.313,98.471,0.002,True,-11.007,True,153.8650820266298,1,14.857146895800934,3,4,2.0,9.4
RuleBased,78,cloud,3.302,287.45,0.0136,True,-41.606,True,191.46336629628826,1,7.5401603380874205,3,16,0.5,22.5
RuleBased,79,hybrid,3.23,85.496,0.002,True,-8.952,True,112.55585854332402,1,14.4796179010353,2,4,0.5,15.1
RuleBased,80,cloud,3.159,224.961,0.0136,True,-47.855,True,190.85437739588582,1,3.9785396164333817,3,16,5.0,22.5
RuleBased,81,cloud,3.175,190.329,0.0068,True,-29.098,True,149.457704284712,1,10.558278483473337,3,8,5.0,15.1
RuleBased,82,cloud,3.262,293.36,0.0034,True,-26.694,True,175.84410971042013,1,3.8077401232655497,4,4,2.0,15.1
RuleBased,83,cloud,3.293,237.511,0.0136,True,-45.8,True,175.47758753034782,1,13.254574242026731,4,16,2.0,9.4
RuleBased,84,cloud,3.192,168.674,0.0136,True,-40.64,True,137.2614805260908,1,20.928672321430522,3,16,5.0,22.5
RuleBased,85,cloud,3.446,182.231,0.0068,True,-26.794,True,63.607745825927445,1,14.211951013192394,4,8,2.0,22.5
