engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
RuleBased,62,cloud,3.401,181.433,0.0136,True,-41.68,True,137.58210816323464,1,21.875314354567347,3,16,5.0,40.0
RuleBased,63,cloud,3.319,182.403,0.0068,True,-27.515,True,110.35282445112252,1,55.73585701715949,4,8,1.0,40.0
RuleBased,64,hybrid,3.246,123.566,0.008,True,-20.014,True,170.65377114918084,1,48.63146664375181,4,16,5.0,40.0
RuleBased,65,cloud,3.341,260.209,0.0068,True,-41.111,True,185.73624663076063,1,68.2580317216968,4,8,2.0,22.5
RuleBased,66,hybrid,3.279,119.807,0.016,True,-34.127,True,164.0231684571085,1,35.52098879277281,2,32,1.0,22.5
RuleBased,67,cloud,3.433,202.395,0.0136,True,-36.745,True,116.10545056180214,1,34.278939499416694,2,16,5.0,40.0
RuleBased,68,hybrid,3.47,52.858,0.008,True,-13.592,True,61.795278198932984,1,50.29755676082603,3,16,5.0,22.5
RuleBased,69,cloud,3.139,302.916,0.0068,True,-33.143,True,197.1762357508851,1,21.4756389631417,2,8,1.0,22.5
RuleBased,70,edge,3.177,25.57,2e-05,True,1.412,True,157.84851891445754,1,64.11621082737426,3,8,1.0,22.5
RuleBased,71,edge,3.297,36.548,2e-05,True,0.723,True,117.50326902476218,1,46.606604141826196,2,8,1.0,22.5
RuleBased,72,edge,3.342,39.351,2e-05,True,0.278,True,152.0673114091513,1,63.698868839880575,3,16,5.0,22.5
RuleBased,73,cloud,3.35,237.614,0.0068,True,-42.952,True,183.03365962456394,1,37.38995331316478,4,8,5.0,22.5
RuleBased,74,edge,3.245,45.327,2e-05,True,-0.126,True,217.44220054260416,1,54.17670198354143,3,32,1.0,22.5
RuleBased,75,hybrid,3.448,129.837,0.008,True,-22.97,True,208.01876385015464,1,24.39334467367047,3,16,5.0,22.5
RuleBased,76,hybrid,3.415,88.188,0.008,True,-17.513,True,91.98488877527701,1,41.629831010949644,4,16,5.0,22.5
RuleBased,77,cloud,3.626,183.395,0.0068,True,-29.642,True,136.58317781686526,1,28.83716314900133,4,8,2.0,22.5
RuleBased,78,hybrid,3.406,109.583,0.004,True,-11.18,True,137.84298396116515,1,60.161987613835656,3,8,5.0,40.0
